,technology_terms,id,category,sector,technology_group,technology,description,technology_term,source,priority
522,carbon sequestration,675762,carbon capture and storage,Industry,CCS,carbon capture and storage,"Also, “CCS” or “carbon sequestration”; technology of separating CO2 emissions generated through conventional power generation and industrial production processes, after which the compressed CO2 is transported to a suitable geological storage location.","“carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, CCS",https://www.ctc-n.org/technologies/co2-storage-technologies,1.0
523,recycling,646226,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
524,microgrid,734796,micro-grids,Human settlements,Energy management,micro-grids,A group of interconnected loads and distributed energy resources (DERs) within clearly defined electrical boundaries that acts as a single controllable entity with respect to the grid. A micro-grid can connect and disconnect from the grid to enable it to operate in both grid-connected or island-mode.,"“micro-grid”, microgrid",https://www.ctc-n.org/technologies/micro-grid,0.0
525,fuel cell,734796,fuel cell,Transport,Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,0.0
526,energy storage,681544,energy storage,Energy,Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,0.0
527,nanomaterial,681544,nanomaterial,Industry,Use of innovative materials,nanomaterial,"Technology of improving the strength of existing materials with nanomaterials. Possible uses include solar panels, batteries, sorbents, insulation, etc.",nanomaterial,CORDIS,0.0
528,PV,687409,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
529,photovoltaic,687409,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
530,data center,688510,low GHG data centers,Industry,Energy use innovation,low GHG data centers,"Technology that helps to decrease the emissions from data centers. Can include efficient power electronic conversion, data center cooling technologies, technologies that increase server utilization rates above 5–10% range (e.g., virtualization), and next generation semiconductor chips.","“data center”, “data centre”",http://www.b-t.energy/landscape/manufacturing/extreme-efficiency-in-itdata-centers/,0.0
531,heat pump,685727,heat pumps,Human settlements,Energy management,heat pumps,"Heat pumps deliver heating, cooling and hot water to buildings. Three main types: ground source, ground water source, and air source.",“heat pump”,https://www.ctc-n.org/technologies/heat-pumps,1.0
532,renewable energy,661431,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
533,photovoltaic,681881,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
534,fuel cell,661579,fuel cell,Transport,Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,0.0
535,geothermal energy,661396,geothermal,Energy,Other renewable sources,geothermal,Technology of heating buildings and/or producing electricity by using natural reservoirs with hot water inside the Earth's crust.,"geothermal, “geothermal energy”, “geothermal power”",https://www.ctc-n.org/technologies/geothermal-electricity,1.0
536,geothermal,661396,geothermal,Energy,Other renewable sources,geothermal,Technology of heating buildings and/or producing electricity by using natural reservoirs with hot water inside the Earth's crust.,"geothermal, “geothermal energy”, “geothermal power”",https://www.ctc-n.org/technologies/geothermal-electricity,1.0
537,solar cell,661480,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
538,photovoltaic,661480,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
539,PV,689427,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
540,DSM,689495,demand-side energy management,Buildings,Decreased energy consumption design or practices,demand-side energy management,"Technology inside buildings that help ensure that the energy system performance meets the design intentions; helps monitor, evaluate and manage the energy performance to optimise occupants’ comfort and the building’s functions, while maintaining or improving the energy efficiency of the building.","“demand-side energy management”, “demand-side management”, “demand side energy management”, “demand side management”, DSM",https://www.ctc-n.org/technologies/energy-management-and-performance-improvement,1.0
541,energy storage,660351,energy storage,Energy,Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,0.0
542,PV,659491,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
